"q0002","q0003","q0004","q0005","Apego_ansiedade","Apego_evitativo","Adaptacao","Autonomia","Afetivo"
1,19,5,25,5.8,2.6,1.8461538461538463,1.875,1.3333333333333333
1,18,4,18,1.6,2.6,2.5384615384615383,3.0,2.3333333333333335
1,21,4,19,3.4,2.6,2.3076923076923075,2.5,2.1904761904761907
1,21,5,19,3.2,1.0,2.6923076923076925,3.0,2.619047619047619
2,22,5,17,2.4,1.2,2.769230769230769,2.875,2.3333333333333335
2,23,5,19,5.6,1.2,2.5384615384615383,2.625,2.3333333333333335
2,21,5,19,4.0,4.0,2.769230769230769,2.75,2.0
1,19,5,19,4.6,3.0,1.8461538461538463,1.375,1.5238095238095237
1,22,5,19,5.6,1.6,2.5384615384615383,2.875,2.1904761904761907
2,26,5,19,4.0,2.2,2.0,2.375,1.8571428571428572
2,33,5,19,1.2,2.2,2.1538461538461537,2.5,2.0
1,24,6,19,4.6,1.8,2.5384615384615383,3.0,2.380952380952381
1,21,5,19,3.6,2.8,1.4615384615384615,2.75,1.619047619047619
1,24,7,19,5.0,1.8,3.0,2.75,2.761904761904762
1,26,6,19,5.6,2.6,1.7692307692307692,2.375,1.3333333333333333
2,25,5,19,4.6,3.2,1.5384615384615385,2.25,1.4285714285714286
1,20,5,19,5.4,2.0,2.3846153846153846,2.0,1.7142857142857142
2,19,4,19,5.8,3.2,2.3076923076923075,2.75,2.2857142857142856
1,27,5,19,2.8,2.2,2.4615384615384617,2.625,1.5238095238095237
1,47,6,25,6.6,1.6,2.076923076923077,2.625,2.2857142857142856
1,42,8,19,4.6,3.0,2.3846153846153846,2.375,1.9523809523809523
1,21,4,14,5.2,4.0,2.6153846153846154,2.875,2.4285714285714284
1,30,8,19,3.4,3.0,2.3846153846153846,2.25,1.8571428571428572
1,31,8,19,2.6,2.6,2.230769230769231,1.75,1.7619047619047619
1,30,8,19,4.6,1.2,2.8461538461538463,2.875,2.6666666666666665
1,41,5,28,5.8,1.4,1.3076923076923077,2.375,1.380952380952381
1,34,5,19,3.4,1.4,2.1538461538461537,2.125,2.1904761904761907
1,37,6,19,4.0,3.6,2.923076923076923,3.0,2.619047619047619
1,34,8,19,5.6,1.2,2.076923076923077,2.25,2.1904761904761907
1,56,5,19,2.2,2.6,1.8461538461538463,2.25,1.2857142857142858
1,37,8,25,6.4,1.0,1.7692307692307692,2.375,1.619047619047619
1,43,6,21,1.4,2.0,2.769230769230769,2.875,2.380952380952381
2,41,6,5,2.2,3.6,2.8461538461538463,3.0,2.3333333333333335
1,40,4,19,5.8,2.4,2.0,2.875,1.7142857142857142
1,33,5,19,5.6,1.8,2.8461538461538463,2.875,2.4761904761904763
1,33,6,19,4.0,2.4,2.923076923076923,3.0,2.857142857142857
1,28,7,19,6.0,1.4,1.9230769230769231,1.375,1.619047619047619
1,24,5,19,5.4,1.8,1.0769230769230769,2.25,1.2857142857142858
1,40,6,19,4.0,3.4,2.230769230769231,2.5,2.3333333333333335
1,26,8,13,2.4,1.6,2.769230769230769,2.875,2.7142857142857144
1,24,4,13,5.8,3.4,1.3076923076923077,2.25,1.3333333333333333
1,28,5,19,1.2,1.2,3.0,2.75,2.5238095238095237
1,21,5,19,4.2,2.4,1.9230769230769231,2.0,1.619047619047619
1,28,6,19,5.6,2.8,1.4615384615384615,2.625,1.2380952380952381
1,26,6,19,4.4,1.6,2.0,2.125,1.8571428571428572
1,22,4,19,2.4,3.6,1.8461538461538463,2.625,1.5714285714285714
2,22,5,19,2.6,1.0,2.923076923076923,2.5,2.619047619047619
1,24,7,19,3.0,1.8,2.6923076923076925,2.875,2.4761904761904763
2,21,5,19,4.4,3.6,2.923076923076923,2.5,1.6666666666666667
2,32,8,7,3.4,5.6,3.0,2.75,2.4761904761904763
1,26,6,25,5.4,3.4,2.230769230769231,2.5,2.5238095238095237
1,54,8,19,3.4,4.2,1.4615384615384615,1.375,1.2380952380952381
2,25,5,19,3.0,1.0,1.6923076923076923,3.0,1.2857142857142858
1,26,7,19,2.4,3.0,2.5384615384615383,2.875,1.9523809523809523
2,48,6,19,6.6,3.4,2.6153846153846154,2.75,1.7619047619047619
1,23,7,19,4.8,1.4,2.076923076923077,2.875,1.7619047619047619
2,27,8,19,2.6,2.2,2.923076923076923,3.0,2.4761904761904763
1,25,5,19,1.6,1.0,1.0769230769230769,2.25,1.0
1,23,5,19,1.6,1.6,2.8461538461538463,2.75,2.3333333333333335
1,33,8,19,5.2,2.0,1.9230769230769231,1.125,1.2380952380952381
1,18,5,19,4.0,3.8,1.3846153846153846,2.0,1.5714285714285714
1,26,6,19,3.6,2.8,2.769230769230769,2.875,1.9523809523809523
2,26,5,19,3.0,2.0,2.230769230769231,3.0,2.142857142857143
1,20,5,19,5.0,1.0,1.6923076923076923,2.625,2.0476190476190474
1,22,5,19,2.8,2.8,2.5384615384615383,2.875,2.1904761904761907
2,18,5,19,4.6,1.6,2.076923076923077,1.625,1.5238095238095237
2,37,6,19,3.6,3.2,2.5384615384615383,2.375,2.5238095238095237
1,21,5,19,5.4,3.0,1.7692307692307692,1.875,1.9047619047619047
1,22,4,19,6.4,1.0,1.6153846153846154,1.875,1.6666666666666667
1,20,5,16,7.0,2.0,2.1538461538461537,3.0,2.1904761904761907
2,18,5,28,1.8,4.4,2.5384615384615383,3.0,2.0476190476190474
1,58,6,19,3.4,1.6,2.4615384615384617,2.5,1.7619047619047619
1,23,5,19,4.8,2.6,2.769230769230769,1.875,1.9523809523809523
1,43,8,19,3.0,1.8,1.7692307692307692,2.0,1.2857142857142858
1,20,5,19,6.4,2.6,3.0,2.25,2.9047619047619047
1,18,5,19,3.2,5.8,1.5384615384615385,2.0,1.0
2,23,5,19,3.8,3.0,2.6923076923076925,2.75,2.3333333333333335
1,21,5,19,3.4,2.6,2.1538461538461537,2.25,1.2857142857142858
1,32,8,19,4.6,2.4,2.3076923076923075,2.75,2.4761904761904763
1,45,8,19,3.6,1.6,2.6923076923076925,3.0,2.9047619047619047
1,22,5,24,5.4,2.4,2.6153846153846154,3.0,1.8095238095238095
1,28,8,25,2.4,3.2,3.0,3.0,2.7142857142857144
2,43,5,19,4.0,5.6,2.8461538461538463,3.0,2.619047619047619
1,25,6,19,4.8,1.8,1.3846153846153846,2.625,1.9047619047619047
2,24,5,19,4.0,2.4,2.1538461538461537,2.25,1.8095238095238095
